comment,label
Tên côn đồ chứ không phải tên hùng đâu nhé. ,toxic
"Clip truyền cảm hứng mạnh mẽ, chúc mừng đội ngũ - cảm hứng #824",positive
"Nghe mà khiếp, ta nói một tháng ăn trộm bằng chục năm làm luôn, 30 tr 1 ngày 900 tr 1 tháng đó",neutral
"Ở Việt Nam, thấy chuột cỡ này có khi mèo cũng phải chạy. Lúc đó k biết con nào canh còn nào.",neutral
Ai đó tư vấn cho chú ấy đi làm bảo vệ vừa kinh tế vừa tốt cho sức khỏe hơn,neutral
Cảm ơn vì đã lan tỏa yêu thương đến mọi người - cảm hứng #2439,positive
"Thương các con quá!! Trẻ con hiếu động, nhất là ở quê, đứa lớn trông đứa nhỏ cho ba mẹ đi làm, lúc bé tui cũng vậy thôi!! Đáng trách ở đây là cha mẹ chủ quan quá, ko cảnh báo nguy hiểm và trang bị kiến thức phòng thân cho con (cảnh báo chỗ nào nguy hiểm, việc gì ko đc làm... nhưng mà làm theo hay ko thì tùy đứa à! hồi bé t cũng nghịch lắm, may ông bà phù hộ!). Nhưng mà hy vọng các ba mẹ chú ý con nhiều hơn, các bé ý thức nguy hiểm hơn! thiệt sự luôn!! :-/",negative
"Có sửa lại thì cũng nhiều người quen cách gọi cũ, chi bằng đặt tên mới cho con đường đó. Lấy tên đúng đặt cho con đường mới.",neutral
Hồng nhan bạc phận . Tiếc thương cô gái xinh đẹp dù biết rằng a và e ko biết nhau,neutral
"Năm nào cũng vậy mưa là vùng ở bệnh viện Hóc Môn ngập, sao không đào những hầm ngầm để chứa nước trong bệnh viện",neutral
"Clip truyền cảm hứng mạnh mẽ, chúc mừng đội ngũ - cảm hứng #2964",positive
"Bão Noul được dự báo là cấp 12 ...?! Thương bà con mình quá , vừa chống bão , vừa chống dịch . Khó khăn chồng chất khó khăn ....",neutral
Mua ngay combo dưỡng da chỉ 99k số lượng có hạn - ưu đãi #602,spam
"Thật tuyệt vời, mình sẽ ủng hộ dài lâu - cảm hứng #1401",positive
Chuc ông mau khỏe.,neutral
Di dời nhà máy thì cũng phải có kế hoạch từ 1 đến 2 năm chứ,neutral
"Mọi chi tiết đều chỉn chu, đúng là đỉnh cao - cảm hứng #2050",positive
sắp đc liệt vào danh sách tuyệt chủng đến nơi rồi,positive
"Cơ bản nhất là vệ sinh từ khâu chăn nuôi và đặc biệt là giết mổ. Kinh khủng nhất là lấy tiết ở khu giết mổ tập trung. Nước dịch, nước phân bám vào lông, vào da lợn sau đó theo tiết chảy vào thau. Các bạn thử tưởng tượng xem.",negative
"Từ trước đến nay, không có cơn bão nào đi theo đường thẳng như thế này cả!",neutral
"Em ở trần mặc quần đùi đánh khởi động 30p, đánh đấm tổng cộng 15 hiệp mỗi hiệp 3p, cái quần đùi từ 300g thành 4 ký rưỡi. Tính ra cũng hơn 4 lít nước hút vô cái quần, chưa nói cả lít văng tùm lum. Tuỳ theo cường độ vận động, nếu a/c làm việc cường độ nặng cả ngày thì chảy 20l mồ hôi cũng được. Nếu muốn khoẻ mạnh nên chảy ít nhất nữa lít mồ hôi mỗi ngày nhé.",neutral
"Mọi chi tiết đều chỉn chu, đúng là đỉnh cao - cảm hứng #1850",positive
Thắng mà không cần cầu cạnh đến penalty hay ăn rùa giống như ai kia là giỏi rồi,neutral
Flash sale cuối tuần - đặt hàng trước 12h để freeship - ưu đãi #364,spam
"3 em trường thường, 1 em trường chuyên sẽ làm dậy sóng cuộc chiến trường chuyên và trường thường của các bạn thuộc 2 phe. Tôi thì thấy ai vô địch năm này đều xứng đáng, 4 em đều giỏi. Chúc các em thi đấu hết mình",neutral
"Nếu theo thang điểm, tôi xin lỗi Ông:Nói tôi chấm 9Làm tôi chấm 2.",neutral
"Thật tuyệt vời, mình sẽ ủng hộ dài lâu - cảm hứng #1931",positive
"đi săn rồi bị săn, sinh tồn của loài vật ngoài thiên nhiên không thể lường trước được điều gì. ",neutral
Hy vọng Ansu Fati là Lionel messi mới chứ đừng là Bojan krkic mới.,neutral
"sợ nhất các ""ông bà bác sĩ ""quyền lực tại gia.",negative
"Quá xuất sắc, mong tương lai sẽ rộng mở với em đi theo chuyên ngành Toán học.",positive
Binz là đại diện cho sự hiện đại và trend!,neutral
"Một đi tích lịch sử rất quý giá gắn liền với cuộc chiến tranh du kích, nên tạo dựng các mô hình với tỉ lệ 1:1 để các thế hệ sau này dễ hình dung! Cảm ơn gia đình đã gìn giữ và tôn tạo di tích này!",positive
"Báo về, gió cuốn nhà bayHằn in trong trí nhớ ngày ấu thơCha dặm mái, mẹ thẫn thờGió rong mưa đổ phất phơ lúa đồngQuê hương ngày đó thuần nôngTrông vào hạt thóc làm công nuôi người.Nặng tình ta nhớ khôn nguôiMỗi lần nghe bão lặng người xót xa.",neutral
Tôi ghét thú tiêu khiển câu cá và săn bắn. Câu cá kiếm cơm thì tôi không ý kiến nhưng câu để tiêu khiển thì thật độc ác. Họ câu con cá xong lại thả nó về tự nhiên. Thử để lưỡi câu móc vào mồm biết đau đớn cỡ nào. Có thể con cá được thả lại cũng không thể sống nổi vì bị thương ở miệng.,negative
Thay vài lần nữa là lứa cầu thủ triệu đôi vừa đến tuổi về hưu,neutral
chứng minh:1. Tổng chiều cao=1km. S=51km2 tồn tại ko?2. Tổng chiều cao =1km s=510km2 có tồn tại ko?3... nếu các trường hợp trên có tồn tại thì lời giải bài toán là có.,neutral
"Có thể đây là kiếp nạn cuối cùng trong năm của Trump. Thông thường trước khi thành công may mắn sẽ gặp nhiều rủi ro. Tui tin tuyệt đối vào Trump, ông sẻ thắng",positive
Quy hoạch kém. Ao hồ đầm là nơi chứa thì giờ bị lấp để xấy cao ốc cả rồi,toxic
Thật tự hào khi thấy sản phẩm Việt chất lượng như vậy - cảm hứng #1687,positive
Một bộ phim rất hay và còn nhận được giải liên hoan phim tại Busan ấy vậy mà cục điện ảnh định cấm công chiếu! Thật không thể hiểu nôi?,neutral
"Giảm giá sốc 90% toàn bộ sản phẩm, nhanh tay kẻo lỡ - ưu đãi #127",spam
Tôi bận lắm! Thỉnh thoảng ngoi lên cho mọi người biết tôi vẫn ổn,neutral
"Nó đi tìm bạn đời đấy, cứ cấm đoán khổ cho nó và nguy hiểm cho người. Tây cũng lắm chuyện quá. Tưởng là biết tuốt rồi chứ lại cứ bảo thủ.",toxic
Thủ môn quá hay !!! Leno quá đỉnh ? Asenal có viên Ngọc quý ...,positive
"Còn một kịch bản đang được bàn luận trên thế giới mạng là Trump chỉ giả bệnh, vừa tránh được hai cuộc tranh luận vừa lấy được sự thương hại của người dân, sau hai tuần sẽ tuyên bố khỏi bệnh và tuyên bố mình đã có kháng thể, sức khỏe lại tốt hơn Biden. Đối với trump không có điều gì là không dám làm.",neutral
"Tên này quá tàn bạo, hắn không xứng đáng làm cha đứa trẻ này nữa",toxic
"cho mọi người chưa hiểu hết về nội dung bộ phim: Các bạn có thể hiểu Neil chính là Max( con trai của Kat và Sator) quay ngược quá khứ trở về để cứu nhân vật chính và mẹ mình. Bằng chứng là Neil biết mọi thứ về nhân vật chính và anh có nói rằng chúng ta đã biết nhau trong một thời gian dài với nhân vật chính; và hơn nữa anh sẵn sàng hi sinh mạng sống của mình để cứu Kat- một người anh mới gặp, khi Neil và nhân vật chính thực hiện cú nhảy thời gian đưa Kat quay trở về căn phòng ở viện bảo tàng tranh lúc máy bay nổ để đảo ngược vết thương của Kat bằng cỗ máy đảo ngược. Qua đó ta có thể thấy Kat phải là một người vô cùng quan trọng và gần gũi với Neil. Khi bắt đầu bấm máy bộ phim, Robert Pattison phải nhuộm màu tóc thành màu vàng để khớp với màu tóc của cậu bé Max. Xuyên suốt bộ phim, Kat luôn luôn nói về cậu con trai bé nhỏ của mình nhưng chúng ta gần như không hề nhìn thấy mặt cậu bé và chỉ có duy nhất một cảnh quay về cậu trong cả bộ phim- điều này ngụ ý rằng cậu con trai mà cô nói tới đứng ngay trước mắt cô với một phiên bản trưởng thành. Đoạn kết phim, nhân vật chính điềm tĩnh và trìu mến dõi theo hình bóng hai mẹ con dắt tay nhau đi, cảnh này giống như ẩn dụ rằng tình bạn của họ bắt đầu từ đó- khớp với lời Neil nói rằng tình bạn của họ đã có từ rất lâu. Vậy là cả bộ phim nói về hành trình đi ngược về quá khứ để cứu mẹ và nhân vật chính của Neil và đáng tiếc rằng anh cũng đã hi sinh mạng sống của mình khi đỡ đạn thay cho nhân vật chính.",negative
"Mãi là Fan Mu, và chúc mừng Bayer. Tôi không biết sao mấy cái nick cà khịa cực mạnh lúc nào cũng lên Top với những lời lẻ rất ....khó đọc.Cũng không hiểu vì sao họ lại cay CR7 vậy.Tôi thích cách chơi khoa học, ý chí mạnh mẽ, sự chuyên nghiệp của CR7 không có nghĩa là ghét Messi. Nhưng đọc các cổ vũ của fan anh ấy luôn có gì đó trù dập CR7. Đành rằng là ai cũng có ý kiến riêng nhưng cổ vũ văn minh là điều nên hơn và đẹp hơn.Tôi cũng tin rằng đa số anh em anti Messi ở đây phần lớn là từ bình luận ít khiêm tốn của fan Messi.Là fan ai hay học điều tốt đẹp của người đó và hạn chế trù dập người khác vì nó chẳng làm bạn giỏi hơn, thông minh hơn và giàu có hơn đâu.Luôn chúc các bạn có những bình luận hay và xem bóng đá với tinh thần fairplay của thể thao.",positive
Em đến rồi đi để anh ngồi đây ôm mối tình cay..,neutral
"Barcelona rút G7 ra khi đá 10 người, M10 làm luôn 2 vị trí TĐ cánh phải và Trung phong ảo. Mặc dù không trực tiếp ghi bàn nhưng 2 bàn sau đều có dấu giày M10. Hơn nữa ở thế 10:11 mà vẫn cầm bóng 60% và tấn công dồn dập thì chỉ có thể là Barcelona với M10 trên hàng công.** Đồng phục sân khách màu đen của Barcelona đẹp quá, hôm nay nhìn cầu thủ nào của Barcelona cũng đẹp như tài tử, phải tìm mua thôi.",neutral
"Dịch vụ chuyên nghiệp và tận tâm, cảm ơn rất nhiều - cảm hứng #362",positive
Thương tâm quá,neutral
"Tình hình thật nguy hiểm, cần cảnh báo gấp - tâm trạng #79",negative
"Phong cách làm việc tuyệt hảo, mong các bạn tiếp tục - cảm hứng #1706",positive
Cơ sở pháp lý bồi thường như thế nào? Những người lỡ ăn có phải khám y tế và yêu cầu cơ sở cung cấp bồi thường ra sao?,neutral
không đẹp bằng vợ mình :),toxic
"Dịch vụ chuyên nghiệp và tận tâm, cảm ơn rất nhiều - cảm hứng #1292",positive
Thật đáng buồn khi mọi thứ diễn ra như vậy - tâm trạng #941,negative
Mô phật. Không phải người nữa rồi. a di đà phật.,neutral
Thật đáng buồn khi mọi thứ diễn ra như vậy - tâm trạng #1011,negative
"Mới đi xem trực tiếp 2 xe này.Tôi ưu tiên attrage hơn vì thương hiệu và xuất xứ. Nếu bản full sẽ chọn attrage nhưng ra biển gần 500 rồi. Bản base nhìn attrage lại quá chán, nội thất ko khác j con xe tải 1.5 tấn.",negative
"Cầu chúc ngài và gia đình vượt qua khó khăn bệnh dịch, phục hồi sức khoẻ, chuyện ngài tái cử chắc không thể, joe làm tốt hơn!!!",neutral
"Ao ở rẫy tưới cà phê là cực sâu,trong nhỏ nhỏ vậy thôi nhưng bà con thường thuê máy múc,múc sâu xuống để trữ đc nhiều nước,năm 2015,bác dâu mình trượt chân cũng ngã xuống ao và k qua khỏi,!Haizzz thành kính phân ưu cùng gia đình,mong gđ sớm tìm được các cháu!Tội nghiệp!",neutral
Tứ quại. Hơn 25 năm với mình rồi,neutral
Đành tự an ủi nghèo mà yên bình thôi,neutral
Happy birthday! Happy Happy hạnh phúc,positive
"Clip truyền cảm hứng mạnh mẽ, chúc mừng đội ngũ - cảm hứng #2844",positive
Joe Biden dù có không là Tổng thống nhưng ông ấy vẫn cho thấy sự già dơ và đẳng cấp hơn Trump.,toxic
"nghĩ thời giờ 500tr sở hữu con xe cũng ngon quá bác nhỉ. nếu kt có hạn thì quá trời gói vay ưu đãi, quá dễ để sở hữu xe",spam
A di đà Phật!,neutral
Nội dung chữa lành khiến mình thấy ấm lòng - cảm hứng #1695,positive
"Với mình nghe từ những ngày đầu anh Trường bắt đầu ca hát, từ Kiếp ve sầu, Kiếp rong buồn.... thì có lẽ đến 70% các bài đều tạo hit. Giờ lớn đủ thứ phải lo nên ko có thời gian nghe nhạc 3-4 năm nay, ko rõ những bài a ra tiếp theo có đc như xưa nữa ko. Với mình thì gắn bó nhất là Mãi mãi một tình yêu, nhờ nó mà mình tán cô nào cũng đổ vì hát giống Đan Trường ️",negative
"Một ngày tồi tệ, mong mọi chuyện sớm khá hơn - tâm trạng #385",negative
"Ưu đãi đặc biệt cho 100 khách hàng đầu tiên, đặt ngay - ưu đãi #636",spam
"Trời ơi, đừng có biến những thứ truyền thống thành thứ bình thường. Những thứ trên không thể gọi là bánh trung thu, chỉ là bánh ngọt ăn trong mùa thu thôi nhé, không có chút màu sắc gì giống bánh trung thu - dòng bánh nướng có màu đặc trưng dùng thưởng trà dưới trăng, phù hợp cho mọi lứa tuổi, màu ấm áp của tiệc quây quần đoàn viên. Lý do nhiều người mua dòng bánh mini này chỉ 1 chữ thôi RẺ, sợ mập, ăn chơi chia đông người cho dễ. Còn thực tế người coi trọng giá trị truyền thống hoặc mua biếu không ai mua bánh này.",toxic
"Cứ làm thí điểm cho học sinh dùng điện thoại trên lớp vài năm xem chất lượng giáo dục có tăng lên hay không, rồi tính tiếp.",neutral
"Nên xử 2 người này sao cho thoả đáng. Nếu các bé là con tôi, Tôi sẽ hành hạ chúng gấp ngàn lần chúng hành hạ các bé.",toxic
Sevilla sẽ đập Bayern 8-2 cho chừa cái tội bắt nạt!,neutral
"Tại sao chất lượng sản phẩm, chất lượng con người, chất lượng công trình lại kém ?. Vì kiểm tra an toàn vệ sinh thực phẩm, dự giờ, nghiệm thu,.v.v.v nhiều khi BÁO TRƯỚC thì ai mà không chuẩn bị cho sạch đẹp, ngon lành cành xuyên, quy trình tuyệt vời. Hãy thử kiểm tra đột xuất, dự giờ đột xuất, cũng như huỷ đột xuất, kèm theo  phải đảm bảo có tốt hơn không. Một ý kiến không làm nên tất cả nhưng cần nhìu góp ý nhỏ để hoàn thiện một quy trình lớn.",positive
"Ngoài ra mình cũng muốn chia sẽ cho các bạn một số idoms hơi giống như PULL AN ALL-NIGHTER nhưng cách dùng này để nói khéo, hay cách nói lịch sự của người Mỹ, hay tỏ ra từ chối một điều gì đó.For example: No, thank you, my friend. I must get up with the chickens.Đây là những idioms có ý nghĩa giống như nhau- be up with the chickens- get up with the chickens- be up with the crows- be up with the roostersEnjoy everyone. And thank you so much Ms. Moon Nguyen.",negative
Có nhiều cha mẹ coi con như cục vàng nuông chiều quá nên dẫn tới sẵn sàng ăn hiếp bạn khác. Nhưng khi động đến con họ thì họ sẽ làm ầm ĩ lên,toxic
"nói chung thì mọi thứ để dự trữ tài sản đều tăng lên về số lượng theo từng ngày dẫn đến giá trị của nó giảm, nhưng đất thì không tăng lên cũng chẳng giảm đi. nếu mua đất thì khuyến cáo là mua đất nông nghiệp vì kể cả trong trường hợp bần cùng vẫn có thể chuyển sang làm kinh tế trang trại, chờ ngày ""đông sơn tái khởi"" chứ còn mua đất ở thì không khuyến cáo, bởi giá trị của nó thường bị thổi phồng không đúng theo giá trị thực tế của nó.",neutral
Thật sự lo lắng cho tương lai nếu cứ tiếp tục - tâm trạng #1134,negative
Không thể chấp nhận được!,toxic
Mình cảm thấy thất vọng vì trải nghiệm vừa rồi - tâm trạng #502,negative
"Bán 2/3 số vàng mua đất, giữ lại 1/3 đầu tư tiếp bạn nhé. Nếu thu nhập ổn định bạn mua đất giá trị cao hơn 2/3 số vàng bán được rồi trả góp khi lãi suất vay đang thấp( không quá 40%). Nếu có quyết định tốt hơn mong bạn chia sẻ tiếp",neutral
Kể cũng đáng thương cho Rô khi nài nỉ ở lại để kiếm vài QBV tình thương do Perez ban phát nhưng bị ngó lơ và cho out. Messi thì CLB tìm mọi cách giữ lại và chìa thêm vài năm hợp đồng mới.,neutral
Nhờ có gánh xiếc này mà sân khấu Vleague thêm xôm tụ,neutral
Dịch vụ kém xa kỳ vọng khiến mình rất bực - tâm trạng #763,negative
Cảm ơn vì đã lan tỏa yêu thương đến mọi người - cảm hứng #2109,positive
"Clip truyền cảm hứng mạnh mẽ, chúc mừng đội ngũ - cảm hứng #1624",positive
Không thể tin được là lại xảy ra chuyện này - tâm trạng #547,negative
"Có lẽ giảm một chút, có thể đứng yên... nhưng ít nhất 5 năm tới đây, mức tăng giá của đất không cao bằng lãi TK. Một cuộc khủng hoảng kt của thế giới đang dần hiện ra. Nếu bđs đóng băng thì muốn bán cũng khó.",neutral
Đăng xàm cho vui à?,toxic
"Clip truyền cảm hứng mạnh mẽ, chúc mừng đội ngũ - cảm hứng #1744",positive
Mong mọi điều tốt lành sẽ đến với ông và phu nhân. Tôi yêu Tổng thống Trump <3,neutral
